yield,base_yield,excess_yield,vol,sharpe,te,ir,maxdd,Max Drawdown Start,Max Drawdown End,maxdd2,Second Drawdown Start,Second Drawdown End,monthly_winrate,turnover,cost,model_name
-0.02766011188778561,-0.0665316243953572,0.044880749360558525,0.20565563759507371,-0.13449722172093853,0.042114402610346734,1.065686477279679,0.02596742840235977,2022-07-29,2022-09-23,0.02426888640459557,2022-11-11,2023-05-12,0.5833333333333334,13.0,0.0015151515151515152,grugp1raw
-0.1324872697845273,-0.0665316243953572,-0.06840901402966004,0.21290565512697726,-0.6222815909023726,0.06407878131556725,-1.0675767020719042,0.13985850986632375,2022-01-14,2023-10-13,0.005655145569490649,2023-11-24,2023-12-15,0.4166666666666667,13.0,0.0015151515151515152,grugp1normalize
-0.13605188767784626,-0.0665316243953572,-0.0717111647088784,0.21594336584387158,-0.6300350425037491,0.06573400463737687,-1.0909294984304496,0.15031858310621582,2022-01-14,2023-12-08,-0.0,2022-01-07,2022-01-07,0.375,13.0,0.0015151515151515152,grugp1ind
-0.1645222828580255,-0.0665316243953572,-0.10459813533745554,0.19801235151855842,-0.8308687897310583,0.03819004710726077,-2.7388846901309303,0.20855529097693515,2022-06-24,2023-12-08,0.034383770223784804,2022-01-07,2022-04-29,0.125,13.0,0.0015151515151515152,grugp1raw
-0.11733092609840534,-0.0665316243953572,-0.05309540948445579,0.20189246998008553,-0.5811555334875974,0.04440515067648869,-1.195703846864061,0.10444636271960661,2022-01-21,2023-10-13,0.006287097133118036,2023-11-10,2023-12-15,0.4583333333333333,13.0,0.0015151515151515152,grugp1normalize
-0.12640184865027104,-0.0665316243953572,-0.062169253838134875,0.20659229651472621,-0.6118420230701145,0.047533635827311696,-1.3079002427669104,0.11436729489850284,2022-01-14,2023-10-13,0.009512111832089776,2023-10-27,2023-12-08,0.4583333333333333,13.0,0.0015151515151515154,grugp1ind
-0.10158494190490586,-0.0665316243953572,-0.0367798287522797,0.20175369416638203,-0.5035096994116544,0.05746931628013637,-0.6399907138792991,0.09133816617947621,2023-01-20,2023-12-08,0.04754996631857733,2022-01-14,2022-09-16,0.4583333333333333,12.933673469387756,0.0015075757575757573,grugp2raw
-0.15254915367060407,-0.0665316243953572,-0.08967850105469655,0.21765199108409125,-0.7008856335785402,0.07272012329320271,-1.2332006189417306,0.17575782725925015,2022-01-07,2023-12-08,-0.0,2022-01-07,2022-01-07,0.3333333333333333,12.750612244897958,0.0014866666666666667,grugp2normalize
-0.11304594185386463,-0.0665316243953572,-0.048270139443114646,0.20525589777812578,-0.5507561199340699,0.053550932850909366,-0.9013874618674351,0.10721413228610588,2022-01-14,2023-11-03,0.0038300462098541654,2023-11-17,2023-11-24,0.4166666666666667,13.0,0.0015151515151515152,grugp2ind
-0.17565261192891257,-0.0665316243953572,-0.11442964644735754,0.21967432980802276,-0.7996046332879152,0.07494528623628943,-1.5268424766112814,0.24213016814478183,2022-07-29,2023-12-08,0.06492559831410538,2022-02-18,2022-04-15,0.375,13.0,0.0015151515151515152,grugp2raw
-0.14218289357282743,-0.0665316243953572,-0.07918641022439565,0.21274513497650688,-0.6683250058269415,0.06955884810215905,-1.1384088780207642,0.16683593064687163,2022-01-07,2023-12-08,-0.0,2022-01-07,2022-01-07,0.4583333333333333,12.954897959183674,0.0015099999999999998,grugp2normalize
-0.13561640427469435,-0.0665316243953572,-0.07222012070987649,0.20671490422008967,-0.656055279547252,0.04958027738826497,-1.4566300253691218,0.1395272976406926,2022-01-14,2023-12-08,-0.0,2022-01-07,2022-01-07,0.375,13.0,0.0015151515151515152,grugp2ind
-0.12768095164855953,-0.0665316243953572,-0.06161392882261674,0.21888927330069086,-0.583312967891134,0.05906606249039607,-1.043135875743113,0.14121906036603926,2022-01-07,2023-08-18,0.013451857489732544,2023-08-25,2023-09-15,0.4166666666666667,13.0,0.0015151515151515152,grugp3raw
-0.11648505859743119,-0.0665316243953572,-0.05084086316176162,0.21879935791296817,-0.5323830001538005,0.07895763756835407,-0.6439005107992042,0.11132041963202632,2022-01-07,2023-08-18,0.01191643114629104,2023-09-08,2023-10-20,0.5416666666666666,12.920408163265307,0.0015060606060606063,grugp3normalize
-0.042846941237961844,-0.0665316243953572,0.026118022692113385,0.19575202501426178,-0.21888377009045076,0.04793736839613708,0.5448363889374045,0.040771285145016156,2022-01-21,2022-04-01,0.030850692938981572,2022-07-08,2022-11-25,0.5833333333333334,13.0,0.0015151515151515152,grugp3ind
-0.19646810186288433,-0.0665316243953572,-0.14070081286521574,0.18846197549943655,-1.042481388313112,0.03764711714164732,-3.737359552282019,0.2582955829171254,2022-01-07,2023-12-08,-0.0,2022-01-07,2022-01-07,0.16666666666666666,13.0,0.0015151515151515152,grugp3raw
-0.16539021752615035,-0.0665316243953572,-0.1052862399418465,0.2039820907531954,-0.8108075415613882,0.05661417629405256,-1.859715124971394,0.20263019490091694,2022-01-14,2023-12-08,-0.0,2022-01-07,2022-01-07,0.375,12.997346938775511,0.0015148484848484848,grugp3normalize
-0.10564468011003703,-0.0665316243953572,-0.039277580799372935,0.20845622271123374,-0.5067955215536188,0.047063560502464546,-0.834564584150324,0.08355866762549191,2022-01-21,2023-12-08,-0.0,2022-01-07,2022-01-07,0.4166666666666667,13.0,0.0015151515151515152,grugp3ind
-0.09068335313202947,-0.0665316243953572,-0.02229499558480974,0.2133672206715947,-0.425010706174053,0.05339866477632415,-0.41751972035628265,0.10235177457520717,2022-10-28,2023-10-13,0.05629711698242157,2022-03-11,2022-04-15,0.4583333333333333,11.413469387755104,0.0013339393939393938,biagrugp1raw
-0.11639080296563875,-0.0665316243953572,-0.04873554625244314,0.22653244558669777,-0.5137930801223529,0.07515120581661662,-0.6484998573591385,0.12285385076124256,2022-01-07,2023-10-13,0.00446288245622839,2023-12-08,2023-12-15,0.4166666666666667,9.312244897959184,0.001093939393939394,biagrugp1normalize
-0.09897146638235843,-0.0665316243953572,-0.030142875259953295,0.22510726291112035,-0.439663585716626,0.07454262800244357,-0.4043709762817214,0.11040282281777458,2022-01-07,2022-04-01,0.05414237312219994,2023-01-13,2023-10-13,0.5833333333333334,11.44265306122449,0.0013372727272727273,biagrugp1ind
-0.12216295359478702,-0.0665316243953572,-0.0583380825942903,0.20053366436521164,-0.6091892549886487,0.036532984547176614,-1.596860571819853,0.12265976994048344,2022-01-07,2023-11-24,-0.0,2022-01-07,2022-01-07,0.16666666666666666,12.259795918367345,0.001430606060606061,biagrugp1raw
-0.12506831847342792,-0.0665316243953572,-0.0597961513768378,0.21305180862853318,-0.5870324184456513,0.05554909277048935,-1.076455949044855,0.12097634869719598,2022-01-14,2023-10-13,0.003990644647092423,2023-11-10,2023-11-17,0.4166666666666667,10.468979591836735,0.001226060606060606,biagrugp1normalize
-0.14161582773077108,-0.0665316243953572,-0.07700552256600723,0.21913213516596622,-0.6462576911575024,0.06443194084660371,-1.1951451648699838,0.14528810648042756,2022-01-14,2023-12-08,-0.0,2022-01-07,2022-01-07,0.4166666666666667,10.66530612244898,0.0012484848484848484,biagrugp1ind
-0.12647842219717187,-0.0665316243953572,-0.06323948794444456,0.20639486726885703,-0.6127982922773789,0.0667493354966588,-0.9474174907345717,0.1352973040072688,2022-01-07,2023-12-08,-0.0,2022-01-07,2022-01-07,0.4166666666666667,10.503469387755102,0.00123,biagrugp2raw
-0.1286921716188818,-0.0665316243953572,-0.06243787718970084,0.2278409406935877,-0.5648333930992397,0.08232704425023601,-0.7584127155096042,0.1278986036829488,2022-07-29,2023-12-08,0.09717497839109235,2022-01-07,2022-04-01,0.5,7.906122448979591,0.0009333333333333334,biagrugp2normalize
-0.14237814931453707,-0.0665316243953572,-0.07790355474913735,0.22300224723311834,-0.6384606033395717,0.07711373640302682,-1.0102422523269088,0.14917443621332105,2022-01-14,2023-12-01,-0.0,2022-01-07,2022-01-07,0.4583333333333333,10.259387755102042,0.001202121212121212,biagrugp2ind
-0.1517191672571827,-0.0665316243953572,-0.08965866627978936,0.21145698311854264,-0.717494239346681,0.06436154117389196,-1.3930472242351941,0.1828927128177269,2022-01-07,2023-12-08,-0.0,2022-01-07,2022-01-07,0.3333333333333333,9.245918367346938,0.0010863636363636364,biagrugp2raw
-0.17565818331729965,-0.0665316243953572,-0.11414130480807982,0.2260792123626925,-0.7769762707572433,0.08470236433509463,-1.3475574820617822,0.2194511123307148,2022-01-07,2023-12-08,-0.0,2022-01-07,2022-01-07,0.4166666666666667,7.773469387755103,0.0009181818181818183,biagrugp2normalize
-0.1407126099553253,-0.0665316243953572,-0.07729874901810219,0.211460871032583,-0.6654309578325892,0.05991383129599932,-1.2901653482351032,0.14687779346822116,2022-01-14,2023-12-08,-0.0,2022-01-07,2022-01-07,0.375,10.418571428571427,0.0012203030303030303,biagrugp2ind
-0.07113016134778216,-0.0665316243953572,-0.0030740123750079285,0.20401142976262754,-0.34865772682708956,0.05393402742008165,-0.05699578766972182,0.07359356962270913,2022-11-11,2023-07-28,0.0711686134003574,2022-01-07,2022-04-15,0.5,12.917755102040815,0.0015057575757575757,biagrugp3raw
-0.13991968909933117,-0.0665316243953572,-0.07684292711971907,0.21428057013060392,-0.6529742244667829,0.07362161298441587,-1.0437550062368925,0.16554747459287678,2022-01-07,2023-11-03,0.0012876760990142566,2023-11-10,2023-11-17,0.4166666666666667,9.696938775510203,0.001137878787878788,biagrugp3normalize
-0.04213024239106167,-0.0665316243953572,0.026236965117011124,0.19261869124528477,-0.2187235419298541,0.048384594177397565,0.54225865821703,0.055843684205863386,2022-08-19,2023-03-17,0.031372400616292984,2023-06-16,2023-10-27,0.5833333333333334,12.779795918367347,0.00149,biagrugp3ind
-0.17325221167876226,-0.0665316243953572,-0.11495616936081587,0.1926463605779572,-0.899327717165221,0.038201928679280656,-3.009171875219063,0.21341947790498095,2022-01-07,2023-12-08,-0.0,2022-01-07,2022-01-07,0.16666666666666666,12.564897959183675,0.0014654545454545456,biagrugp3raw
