metric,value
yield,-0.11648505859743119
base_yield,-0.0665316243953572
excess_yield,-0.05084086316176162
vol,0.21879935791296817
sharpe,-0.5323830001538005
te,0.07895763756835407
ir,-0.6439005107992042
maxdd,0.11132041963202632
Max Drawdown Start,2022-01-07 00:00:00
Max Drawdown End,2023-08-18 00:00:00
maxdd2,0.01191643114629104
Second Drawdown Start,2023-09-08 00:00:00
Second Drawdown End,2023-10-20 00:00:00
monthly_winrate,0.5416666666666666
turnover,12.920408163265307
cost,0.0015060606060606063
