metric,value
yield,-0.12506831847342792
base_yield,-0.0665316243953572
excess_yield,-0.0597961513768378
vol,0.21305180862853318
sharpe,-0.5870324184456513
te,0.05554909277048935
ir,-1.076455949044855
maxdd,0.12097634869719598
Max Drawdown Start,2022-01-14 00:00:00
Max Drawdown End,2023-10-13 00:00:00
maxdd2,0.003990644647092423
Second Drawdown Start,2023-11-10 00:00:00
Second Drawdown End,2023-11-17 00:00:00
monthly_winrate,0.4166666666666667
turnover,10.468979591836735
cost,0.001226060606060606
