cost,turnover,strategy_ret,benchmark_ret,excess_ret,strategy_nav,benchmark_nav,excess_nav
0.003,0.5,-0.0004388343854921017,-0.0063673926494070415,0.00592855826391494,0.9995611656145079,0.993632607350593,1.005928558263915
0.0015,0.25,-0.021963822026505278,-0.0245949730771722,0.0026311510506669203,0.9776069820683447,0.9691942401242047,1.008575308246887
0.0015,0.25,-0.043152391207474265,-0.03755442096794238,-0.005597970239531888,0.9354209031309733,0.9327967116308753,1.0029293336869942
0.0015,0.25,-0.016702270841042,0.01002378970922037,-0.026726060550262373,0.9197972498565076,0.9421468697097155,0.9761249835872413
0.0015,0.25,0.027855354938356638,0.028150929883419298,-0.0002955749450626599,0.9454185287225849,0.9686691801787967,0.9758364654988433
0.0015,0.25,-0.0032550879868424175,-0.014222275431035823,0.010967187444193406,0.9423411082272019,0.9548925002967381,0.9865386469308484
0.0015,0.25,-0.05266628185505434,-0.020471548141729537,-0.032194733713324805,0.8927115058177039,0.935344372506737,0.954777297895006
0.0015,0.25,-0.045552087349947215,-0.046980931894400856,0.0014288445444536405,0.852046633326393,0.8914010222441868,0.9561415262282715
0.0015,0.25,0.01480033547981178,0.010873882751691792,0.003926452728119988,0.8646572093440679,0.9010940124448084,0.9598957707323993
0.0015,0.25,-0.03067838819038618,-0.006578791757544327,-0.024099596432841854,0.8381309198241945,0.8951659025829639,0.9367626700401568
0.0015,0.25,0.009152712008160278,0.02468470295203806,-0.01553199094387778,0.8458020907584798,0.9172628069810174,0.9222128807325303
0.0015,0.25,-0.06160585846495533,-0.04823473929072692,-0.01337111917422841,0.7936957268658495,0.8730188746252076,0.9098818624002472
0.0015,0.25,0.0209409306179002,0.0062513167548179675,0.014689613863082231,0.8103164540138712,0.8784763921434244,0.9232476756199289
0.0015,0.25,-0.11730907997712234,-0.11094434315420432,-0.006364736822918021,0.7152589763031798,0.781014405840597,0.9173714471422373
0.0015,0.25,0.08221596799178235,0.055497314172342584,0.026718653819439768,0.7740646854047571,0.8243586076946581,0.9418823772622692
0.0015,0.25,-0.014578238682757672,-0.011520049862615081,-0.003058188820142591,0.7627801856650329,0.8148619554293396,0.9390019231062363
0.0015,0.25,0.031127282432191622,0.030898067089694694,0.00022921534249692802,0.7865234599379078,0.8400396147970352,0.9392171567536465
0.0015,0.25,0.022773911337170542,0.026714764135210043,-0.003940852798039501,0.8044356754791384,0.8624810749705707,0.9355158401934872
0.0015,0.25,0.005194257357967186,-0.0005798277847159668,0.005774085142683153,0.8086141214055071,0.861980984479511,0.940917588307093
0.0015,0.25,0.0452269238915673,0.030404264578260523,0.014822659313306778,0.8451852507319605,0.8881888823930555,0.9548644891604673
0.0015,0.25,0.0006474507443224274,0.007294448823832779,-0.006646998079510352,0.8457324665516371,0.8946677307415688,0.948517506734825
0.0015,0.25,0.030876361633595126,0.022993464338025342,0.007882897295569784,0.8718456080341579,0.9152392413027571,0.9559945728234656
0.0015,0.25,0.02267822865736963,0.014173398801740327,0.008504829855629302,0.89161752208708,0.9282112920687433,0.9641251440082342
0.0015,0.25,0.011102841404627738,0.013897879175362622,-0.002795037770734884,0.9015170100284,0.9411114604551218,0.9614303778150161
0.0015,0.25,-0.032150058613640724,-0.02387212182879504,-0.008277936784845685,0.8725331853147928,0.918645133016662,0.9534717179244331
0.0015,0.25,-0.003835406328068168,-0.0031430842231109876,-0.0006923221049571805,0.8691866660143871,0.9157577539924396,0.9528116083776625
0.0015,0.25,-0.007956088022331215,-0.002892804247217567,-0.005063283775113649,0.86227134039174,0.9131086460722678,0.947987252820224
0.0015,0.25,0.002891858134723511,0.010716374916654529,-0.007824516781931018,0.8647649067817907,0.9228938606632171,0.9405697106514755
0.0015,0.25,-0.00013780213151219699,-0.009133620512376815,0.008995818380864619,0.8646457403343794,0.914464498366717,0.9490309049430387
0.0015,0.25,0.01088079629991546,0.01956591387821747,-0.008685117578302011,0.8740537745065474,0.9323568319864474,0.940788459948166
0.0015,0.25,-0.006028948954624479,0.006128271430915027,-0.012157220385539506,0.8687841489164506,0.9380705677233283,0.9293510873044039
0.0015,0.25,-0.029059057948778944,-0.017040968941107064,-0.01201808900767188,0.8435380999881069,0.9220849363141884,0.9181820632178029
0.0015,0.25,-0.025281845042385807,-0.01322862798070519,-0.012053217061680617,0.822211900456859,0.9098870177250757,0.907115015507697
0.0015,0.25,0.023371750731255414,0.0162348569581009,0.007136893773154514,0.8414284320426085,0.9246589033058754,0.9135889990134087
