metric,value
yield,-0.10158494190490586
base_yield,-0.0665316243953572
excess_yield,-0.0367798287522797
vol,0.20175369416638203
sharpe,-0.5035096994116544
te,0.05746931628013637
ir,-0.6399907138792991
maxdd,0.09133816617947621
Max Drawdown Start,2023-01-20 00:00:00
Max Drawdown End,2023-12-08 00:00:00
maxdd2,0.04754996631857733
Second Drawdown Start,2022-01-14 00:00:00
Second Drawdown End,2022-09-16 00:00:00
monthly_winrate,0.4583333333333333
turnover,12.933673469387756
cost,0.0015075757575757573
