metric,value
yield,-0.03248030259196122
base_yield,-0.0665316243953572
excess_yield,0.039877859403836036
vol,0.21139310606573247
sharpe,-0.1536488260968241
te,0.05327328513177009
ir,0.7485526620931895
maxdd,0.04425712092404632
Max Drawdown Start,2022-01-21 00:00:00
Max Drawdown End,2022-04-01 00:00:00
maxdd2,0.029203637759913414
Second Drawdown Start,2023-02-24 00:00:00
Second Drawdown End,2023-06-02 00:00:00
monthly_winrate,0.5833333333333334
turnover,5.199999999999999
cost,0.0006242424242424243
