metric,value
yield,-0.061632213634528976
base_yield,-0.0665316243953572
excess_yield,0.006401189043523159
vol,0.20468172246469718
sharpe,-0.3011124437120129
te,0.0599933288340011
ir,0.10669834743184474
maxdd,0.07006506419311775
Max Drawdown Start,2023-02-03 00:00:00
Max Drawdown End,2023-04-28 00:00:00
maxdd2,0.05796798264999048
Second Drawdown Start,2022-01-07 00:00:00
Second Drawdown End,2022-04-01 00:00:00
monthly_winrate,0.5833333333333334
turnover,5.199999999999999
cost,0.0006242424242424243
