metric,value
yield,-0.12299626774334027
base_yield,-0.0665316243953572
excess_yield,-0.0595389539658594
vol,0.2073139087115911
sharpe,-0.5932851708201063
te,0.061800936847163014
ir,-0.9633988901026271
maxdd,0.12539074328702415
Max Drawdown Start,2022-01-21 00:00:00
Max Drawdown End,2023-12-08 00:00:00
maxdd2,-0.0
Second Drawdown Start,2022-01-07 00:00:00
Second Drawdown End,2022-01-07 00:00:00
monthly_winrate,0.375
turnover,5.199999999999999
cost,0.0006242424242424243
