metric,value
yield,-0.0859937073609871
base_yield,-0.0665316243953572
excess_yield,-0.017580462534196206
vol,0.21506480265650088
sharpe,-0.3998502139763674
te,0.05664454954309463
ir,-0.31036459246306053
maxdd,0.06488249232920107
Max Drawdown Start,2022-06-24 00:00:00
Max Drawdown End,2023-10-13 00:00:00
maxdd2,0.0556888657839919
Second Drawdown Start,2022-01-14 00:00:00
Second Drawdown End,2022-04-01 00:00:00
monthly_winrate,0.4166666666666667
turnover,5.199999999999999
cost,0.0006242424242424243
