metric,value
yield,-0.013043699962170696
base_yield,-0.0665316243953572
excess_yield,0.05836076717248884
vol,0.1989325425361048
sharpe,-0.06556845750766675
te,0.04984057138977081
ir,1.1709489988805926
maxdd,0.03375059376112843
Max Drawdown Start,2022-01-21 00:00:00
Max Drawdown End,2022-04-01 00:00:00
maxdd2,0.024985351343908335
Second Drawdown Start,2022-09-30 00:00:00
Second Drawdown End,2022-11-25 00:00:00
monthly_winrate,0.5833333333333334
turnover,5.199999999999999
cost,0.0006242424242424243
