metric,value
yield,-0.12436637181639942
base_yield,-0.0665316243953572
excess_yield,-0.059501821302963
vol,0.20035892062751198
sharpe,-0.6207179167610382
te,0.03710964367454409
ir,-1.6034058916006018
maxdd,0.13532855765913743
Max Drawdown Start,2022-05-27 00:00:00
Max Drawdown End,2023-10-13 00:00:00
maxdd2,0.019360732122049806
Second Drawdown Start,2022-01-28 00:00:00
Second Drawdown End,2022-02-18 00:00:00
monthly_winrate,0.375
turnover,30.27673469387755
cost,0.0034884848484848493
