metric,value
yield,-0.20502350153340254
base_yield,-0.0665316243953572
excess_yield,-0.1462066451592834
vol,0.20828094098751038
sharpe,-0.984360357512005
te,0.04886562863109849
ir,-2.9920140036065406
maxdd,0.2613865300590288
Max Drawdown Start,2022-01-14 00:00:00
Max Drawdown End,2023-12-08 00:00:00
maxdd2,-0.0
Second Drawdown Start,2022-01-07 00:00:00
Second Drawdown End,2022-01-07 00:00:00
monthly_winrate,0.20833333333333334
turnover,24.39489795918367
cost,0.0028166666666666665
