metric,value
yield,-0.16014930772649083
base_yield,-0.0665316243953572
excess_yield,-0.09833092779864361
vol,0.21075601276748426
sharpe,-0.7598801363886823
te,0.06241791924668828
ir,-1.5753637574815627
maxdd,0.18579447581671993
Max Drawdown Start,2022-01-14 00:00:00
Max Drawdown End,2023-10-13 00:00:00
maxdd2,0.005146024979439723
Second Drawdown Start,2023-11-24 00:00:00
Second Drawdown End,2023-12-15 00:00:00
monthly_winrate,0.375
turnover,19.77857142857143
cost,0.0022893939393939396
