metric,value
yield,-0.14110137796754352
base_yield,-0.0665316243953572
excess_yield,-0.0781298267234194
vol,0.21420310601597992
sharpe,-0.6587270399198465
te,0.07351231673105824
ir,-1.0628127393842604
maxdd,0.16677993409354241
Max Drawdown Start,2022-01-07 00:00:00
Max Drawdown End,2023-11-03 00:00:00
maxdd2,0.0015463998369680265
Second Drawdown Start,2023-11-10 00:00:00
Second Drawdown End,2023-11-17 00:00:00
monthly_winrate,0.4166666666666667
turnover,9.967551020408163
cost,0.001168787878787879
