epoch,train_loss,val_loss,model_name,hidden_size,window_id
1,0.006771143704782928,0.004477411976178028,gru_gp2_cross_raw,32,1
2,0.004050093100433681,0.0043809601064661845,gru_gp2_cross_raw,32,1
3,0.00391572524842249,0.004359530917947971,gru_gp2_cross_raw,32,1
4,0.0038604884429765647,0.004351287899233652,gru_gp2_cross_raw,32,1
5,0.003835675571094507,0.004348727146617505,gru_gp2_cross_raw,32,1
6,0.003825655185940826,0.004352272798291587,gru_gp2_cross_raw,32,1
7,0.0038186721822732906,0.004355107174849748,gru_gp2_cross_raw,32,1
8,0.003814753318839914,0.004356272351348914,gru_gp2_cross_raw,32,1
9,0.003809085764081368,0.004362529706202072,gru_gp2_cross_raw,32,1
10,0.0038065400060243886,0.004361028722369997,gru_gp2_cross_raw,32,1
1,0.004071295560809365,0.00434954121548432,gru_gp2_cross_raw,64,1
2,0.0038452968554211348,0.004340686516429321,gru_gp2_cross_raw,64,1
3,0.0038239956925181858,0.004337597699511107,gru_gp2_cross_raw,64,1
4,0.003816003191862337,0.004334164198347125,gru_gp2_cross_raw,64,1
5,0.0038086552247628734,0.004332796628919563,gru_gp2_cross_raw,64,1
6,0.0038026264249997857,0.004333847678782998,gru_gp2_cross_raw,64,1
7,0.0037985582972976367,0.004332532720765522,gru_gp2_cross_raw,64,1
8,0.0037931357746777087,0.0043354645628724715,gru_gp2_cross_raw,64,1
9,0.0037886927403279836,0.004339191861090665,gru_gp2_cross_raw,64,1
10,0.0037831725000086604,0.00434113884424916,gru_gp2_cross_raw,64,1
11,0.003776373198066785,0.004348692044952274,gru_gp2_cross_raw,64,1
12,0.0037698282084456243,0.004358483219671869,gru_gp2_cross_raw,64,1
1,0.008381341970770766,0.0038058442060682402,gru_gp2_cross_raw,32,2
2,0.004603967330124426,0.0036411293672264124,gru_gp2_cross_raw,32,2
3,0.004456659878702148,0.003607727164787708,gru_gp2_cross_raw,32,2
4,0.004397879093640337,0.0036043449794236995,gru_gp2_cross_raw,32,2
5,0.004365536953494149,0.003613265002350704,gru_gp2_cross_raw,32,2
6,0.004351324163205726,0.003627419708992201,gru_gp2_cross_raw,32,2
7,0.004342153585932561,0.003627341672412674,gru_gp2_cross_raw,32,2
8,0.004337552768962556,0.003640407158006847,gru_gp2_cross_raw,32,2
9,0.004335662626391767,0.0036462135996103663,gru_gp2_cross_raw,32,2
1,0.004718930331352902,0.003572226473020256,gru_gp2_cross_raw,64,2
2,0.004401066127772394,0.003566098865121603,gru_gp2_cross_raw,64,2
3,0.004369196072956057,0.003568336740922073,gru_gp2_cross_raw,64,2
4,0.004357276158162246,0.0035739726193429987,gru_gp2_cross_raw,64,2
5,0.004351202406871476,0.0035824400322700413,gru_gp2_cross_raw,64,2
6,0.004345338787197283,0.0035922348215382247,gru_gp2_cross_raw,64,2
7,0.00434105600696057,0.0036015602080190735,gru_gp2_cross_raw,64,2
