cost,turnover,strategy_ret,benchmark_ret,excess_ret,strategy_nav,benchmark_nav,excess_nav
0.003,0.5,-0.008604310733052619,-0.0063673926494070415,-0.0022369180836455775,0.9913956892669474,0.993632607350593,0.9977630819163544
0.0015,0.25,-0.030283894744674897,-0.0245949730771722,-0.0056889216675026985,0.9613723665628628,0.9691942401242047,0.9920868859006062
0.0015,0.25,-0.040510757922654336,-0.03755442096794238,-0.002956336954711959,0.9224264433475053,0.9327967116308753,0.9891539427775331
0.00141,0.235,0.011891792693246203,0.01002378970922037,0.0018680029840258336,0.9333957473865623,0.9421468697097155,0.9910016852943025
0.00144,0.24000000000000002,0.024478746635376802,0.028150929883419298,-0.0036721832480424953,0.9562441053973761,0.9686691801787967,0.9873625455067829
0.0015,0.25,-0.012011080076699274,-0.014222275431035823,0.002211195354336549,0.9447585808745766,0.9548925002967381,0.9895457969804533
0.0013200000000000002,0.22000000000000003,-0.025708403242165064,-0.020471548141729537,-0.0052368551004355265,0.9204703463109575,0.935344372506737,0.9843636890264217
0.0013200000000000002,0.22000000000000003,-0.046127333814656585,-0.046980931894400856,0.0008535980797442708,0.8780115033801794,0.8914010222441868,0.9852039399811445
0.0013800000000000002,0.23,0.010726716795375384,0.010873882751691792,-0.00014716595631640746,0.8874296841200203,0.9010940124448084,0.9850589515011505
0.0013800000000000002,0.23,-0.01435799717996784,-0.006578791757544327,-0.007779205422423513,0.8746879712180052,0.8951659025829639,0.977395975564226
0.00147,0.245,0.014230732503150871,0.02468470295203806,-0.010453970448887188,0.8871354217601323,0.9172628069810174,0.9671783069188163
0.0015,0.25,-0.052485319245717685,-0.04823473929072692,-0.004250579954990764,0.8405738359348673,0.8730188746252076,0.9630672381945253
0.00108,0.18,0.009135157035965806,0.0062513167548179675,0.002883840281147839,0.8482526099264566,0.8784763921434244,0.9658445702894844
0.0015,0.25,-0.11532647347780882,-0.11094434315420432,-0.004382130323604502,0.750426627805291,0.781014405840597,0.9616121135101302
0.0014399999999999999,0.24,0.04488235549876885,0.055497314172342584,-0.010614958673573732,0.7841075424901904,0.8243586076946581,0.9514046406652122
0.0015,0.25,-0.013365491546497835,-0.011520049862615081,-0.001845441683882754,0.7736275597594926,0.8148619554293396,0.9496488788830891
0.0007199999999999999,0.12,0.024764224386211696,0.030898067089694694,-0.006133842703482998,0.792785846240734,0.8400396147970352,0.9438238820364813
0.0015,0.25,0.029918789548583923,0.026714764135210043,0.0032040254133738795,0.8165050391315065,0.8624810749705707,0.9468479177402753
0.0015,0.25,0.0024802928739789307,-0.0005798277847159668,0.0030601206586948976,0.8185302107616322,0.861980984479511,0.9497453866139945
0.0015,0.25,0.0439640515567184,0.030404264578260523,0.013559786978457875,0.8545161151482882,0.8881888823930555,0.9626237317402534
