epoch,train_loss,val_loss,model_name,hidden_size,window_id
1,0.9695709274845873,0.9717568731358072,gru_gp1_train_ind,32,1
2,0.9671204465575614,0.9715698658167815,gru_gp1_train_ind,32,1
3,0.9665995429241501,0.9715405562344719,gru_gp1_train_ind,32,1
4,0.9662622198397416,0.9715209464315607,gru_gp1_train_ind,32,1
5,0.9658995854737457,0.9716007765852103,gru_gp1_train_ind,32,1
6,0.9655522415861812,0.9718939098490387,gru_gp1_train_ind,32,1
7,0.9650843700141886,0.9720563063351046,gru_gp1_train_ind,32,1
8,0.9646926293857233,0.9722262812512261,gru_gp1_train_ind,32,1
9,0.9641571346198627,0.9724408316762507,gru_gp1_train_ind,32,1
1,0.9689000606797148,0.9720039054626176,gru_gp1_train_ind,64,1
2,0.9670578022711142,0.9720663363192262,gru_gp1_train_ind,64,1
3,0.9663885357468409,0.9721407500886116,gru_gp1_train_ind,64,1
4,0.9657022079461006,0.9724410673399934,gru_gp1_train_ind,64,1
5,0.9651797823770598,0.9728111388052211,gru_gp1_train_ind,64,1
6,0.9644412985925591,0.973164461365267,gru_gp1_train_ind,64,1
1,0.9704705976812463,0.9657977297587736,gru_gp1_train_ind,32,2
2,0.968931601016145,0.9656454710769251,gru_gp1_train_ind,32,2
3,0.9684651893377304,0.9656633855421332,gru_gp1_train_ind,32,2
4,0.9678723638308676,0.9656544979111554,gru_gp1_train_ind,32,2
5,0.9674505645977823,0.9656767040365356,gru_gp1_train_ind,32,2
6,0.967045314374723,0.9656630031418699,gru_gp1_train_ind,32,2
7,0.9665098665576232,0.9656392598705452,gru_gp1_train_ind,32,2
8,0.966214218014165,0.9656783674336686,gru_gp1_train_ind,32,2
9,0.9658317013790733,0.9655973197035649,gru_gp1_train_ind,32,2
10,0.9655677791018235,0.965645190909945,gru_gp1_train_ind,32,2
11,0.9650688458116431,0.965688761402283,gru_gp1_train_ind,32,2
12,0.9647253116181023,0.9657966226716584,gru_gp1_train_ind,32,2
13,0.9644670096196626,0.965911426373172,gru_gp1_train_ind,32,2
14,0.9640733826474139,0.9659928041922895,gru_gp1_train_ind,32,2
1,0.9703218306365766,0.9658839536618583,gru_gp1_train_ind,64,2
2,0.9690527887407102,0.9659344748857153,gru_gp1_train_ind,64,2
3,0.9685389969850842,0.9660192284151472,gru_gp1_train_ind,64,2
4,0.9681405999158558,0.9661123024511941,gru_gp1_train_ind,64,2
5,0.9676726450418172,0.9661273181689942,gru_gp1_train_ind,64,2
6,0.9671003848627994,0.9660657318584024,gru_gp1_train_ind,64,2
