cost,turnover,strategy_ret,benchmark_ret,excess_ret,strategy_nav,benchmark_nav,excess_nav
0.003,0.5,0.009290985025187524,-0.0063673926494070415,0.015658377674594565,1.0092909850251874,0.993632607350593,1.0156583776745947
0.0015,0.25,-0.03030294986837153,-0.0245949730771722,-0.005707976791199332,0.9787064909033698,0.9691942401242047,1.0098610232270409
0.0015,0.25,-0.039072475660304126,-0.03755442096794238,-0.0015180546923617491,0.9404660053589662,0.9327967116308753,1.0083279989620977
0.0015,0.25,-0.007554253489512868,0.01002378970922037,-0.01757804319873324,0.933361486756215,0.9421468697097155,0.9906035658378497
0.0015,0.25,0.03215611229771459,0.028150929883419298,0.004005182414295292,0.9633747635387097,0.9686691801787967,0.9945711138192816
0.0015,0.25,0.01094458423969008,-0.014222275431035823,0.025166859670725905,0.9739184997926505,0.9548925002967381,1.019601345473329
0.0015,0.25,-0.0465833646423595,-0.020471548141729537,-0.026111816500629964,0.9285500991848699,0.935344372506737,0.992977702236534
0.0015,0.25,-0.035075630491489235,-0.046980931894400856,0.01190530140291162,0.8959806190130257,0.8914010222441868,1.0047994010680306
0.0015,0.25,0.014652572948314532,0.010873882751691792,0.00377869019662274,0.90910904039339,0.9010940124448084,1.0085962267144188
0.0015,0.25,-0.026349434762157398,-0.006578791757544327,-0.01977064300461307,0.8851545310418569,0.8951659025829639,0.9886556307802483
0.0015,0.25,0.006490139931676894,0.02468470295203806,-0.018194563020361165,0.8908993078094763,0.9172628069810174,0.9706674736005821
0.0015,0.25,-0.05955457819357711,-0.04823473929072692,-0.01131983890285019,0.8378421753199331,0.8730188746252076,0.959679674171187
0.0015,0.25,0.018198401488445703,0.0062513167548179675,0.011947084733627735,0.853089563610358,0.8784763921434244,0.9711450485556505
0.0015,0.25,-0.1292134271653221,-0.11094434315420432,-0.018269084011117792,0.7428589374172946,0.781014405840597,0.9534031180766063
0.0015,0.25,0.06857601747111267,0.055497314172342584,0.013078703298770082,0.7938012448881953,0.8243586076946581,0.9658723945820524
0.0015,0.25,-0.013866025505927306,-0.011520049862615081,-0.002345975643312225,0.7827943765799387,0.8148619554293396,0.9636064814698153
0.0015,0.25,0.033056400317090305,0.030898067089694694,0.002158333227395611,0.8086707408581323,0.8400396147970352,0.9656862653569054
0.0015,0.25,0.043657931587720675,0.026714764135210043,0.01694316745251063,0.8439756327395079,0.8624810749705707,0.9820480494574371
0.0015,0.25,-0.0032245557431741594,-0.0005798277847159668,-0.0026447279584581925,0.8412541862658587,0.861980984479511,0.9794507995244877
0.0015,0.25,0.05489845631657969,0.030404264578260523,0.024494191738319168,0.8874377424617148,0.8881888823930555,1.0034416552062906
0.0015,0.25,0.008761327507145809,0.007294448823832779,0.0014668786833130299,0.8952128751656241,0.8946677307415688,1.004913582380261
0.0015,0.25,0.031121823618962527,0.022993464338025342,0.008128359280937185,0.923073532367953,0.9152392413027571,1.0130818810241415
0.0015,0.25,0.022973050327039137,0.014173398801740327,0.00879965152529881,0.9442793470825998,0.9282112920687433,1.0219966485437482
0.0015,0.25,0.016456029551046216,0.013897879175362622,0.002558150375683594,0.9598184359226337,0.9411114604551218,1.0246110696541677
0.0015,0.25,-0.03017562686581363,-0.02387212182879504,-0.0063035050370185905,0.9308553129413034,0.918645133016662,1.0181524286156176
0.0015,0.25,-0.0009953930994258129,-0.0031430842231109876,0.0021476911236851747,0.9299287459862378,0.9157577539924396,1.0203391055491138
0.0015,0.25,-0.007079114619022334,-0.002892804247217567,-0.004186310371804768,0.9233456738058775,0.9131086460722678,1.0160676493687957
0.0015,0.25,0.02041272950722366,0.010716374916654529,0.00969635459056913,0.942193679286942,0.9228938606632171,1.0259198015850814
0.0015,0.25,0.001488477940841948,-0.009133620512376815,0.010622098453218763,0.9435961137945613,0.914464498366717,1.0368172227226249
0.0015,0.25,0.014735665374822229,0.01956591387821747,-0.004830248503395243,0.9575006303764207,0.9323568319864474,1.0318091378842746
0.0015,0.25,-0.002617996770359169,0.006128271430915027,-0.008746268201274197,0.9549938968184785,0.9380705677233283,1.0227846584318132
0.0015,0.25,-0.03204171740707589,-0.017040968941107064,-0.015000748465968827,0.9243942522511386,0.9220849363141884,1.0074421230358257
0.0015,0.25,-0.03264768577921977,-0.01322862798070519,-0.019419057798514577,0.8942149191675266,0.9098870177250757,0.9878785462199348
0.0015,0.25,0.021064241682693233,0.0162348569581009,0.004829384724592333,0.9130508783411413,0.9246589033058754,0.9926493917808018
0.0015,0.25,-0.06468093383961983,-0.05855931423005889,-0.006121619609560938,0.8539938948869512,0.870511512031565,0.9865727697986577
0.0015,0.25,-0.022350907413526064,-0.02486315377438109,0.0025122463608550256,0.8349063564106164,0.8488678504455551,0.9890512836493032
0.0015,0.25,-0.04584764819445425,-0.025676637992843115,-0.020171010201611134,0.7966278635065888,0.8270717779459017,0.9691011201168964
0.0015,0.25,0.07153873091701263,0.06068415983189654,0.010854571085116088,0.8536176098749813,0.8772619339112216,0.9796202971138708
0.0015,0.25,-0.025387923736891957,-0.02869714578678385,0.0033092220498918933,0.8319460310950073,0.8520870203005754,0.9828620782016015
0.0015,0.25,-0.019737586034467382,-0.017451118645747513,-0.002286467388719869,0.8155254247302359,0.8372171486128085,0.9806147961121842
0.0015,0.25,0.07373438226044936,0.0634390578035976,0.01029532445685176,0.8756576881404103,0.8903294156978198,0.9907105436053486
0.0015,0.25,-0.008149527718090873,0.010790897258355088,-0.018940424976445963,0.8685214915393507,0.8999368689487062,0.9719460648808175
0.0015,0.25,0.014130628924836,0.006663529574427612,0.0074670993504083885,0.8807942464495383,0.9059336248900636,0.979203682710521
0.0015,0.25,-0.0293180048248316,-0.008568064190647725,-0.020749940634183874,0.8549711164824468,0.8981715274395393,0.9588852644255035
0.0015,0.25,0.03433897486727701,0.04426356004940728,-0.009924585182130269,0.8843299481635855,0.9379277967790272,0.949368725938823
0.0015,0.25,-0.0024086148000437573,-0.012634700997196734,0.010226086197152977,0.8821999379623168,0.9260773595097647,0.9590770523631548
0.0015,0.25,-0.03068843872332788,-0.026729343863574104,-0.003959094859753775,0.8551265992244366,0.9013239193231575,0.9552799753350361
0.0015,0.25,-0.015641941304865046,-0.015502282994554929,-0.00013965831031011698,0.8417507591511391,0.8873513408560485,0.9551465625478076
0.0015,0.25,0.013920049343138141,0.017925327231319673,-0.004005277888181532,0.8534679712531469,0.9032574040100434,0.9513209351408624
0.0015,0.25,0.01782679963066021,0.011825564603447549,0.00600123502721266,0.8686825737678628,0.9139389327947065,0.9570300356589505
0.0015,0.25,0.01346926260894392,0.012979661641408055,0.0004896009675358654,0.8803830874777554,0.9258015509032913,0.9574985984903701
0.0015,0.25,0.02370908268081523,0.02463292223063867,-0.0009238395498234395,0.9012561628895569,0.9486067485076968,0.9566140234161842
0.0015,0.25,0.002920690415657005,0.0058770123094147395,-0.0029563218937577345,0.9038884531265602,0.9541817220454704,0.9537859644348833
