epoch,train_loss,val_loss,model_name,hidden_size,window_id
1,0.004103020839871001,0.004348489831538261,biagru_gp1_cross_raw,32,1
2,0.003861661418086918,0.004339621150416142,biagru_gp1_cross_raw,32,1
3,0.0038452109953085586,0.004333082341467727,biagru_gp1_cross_raw,32,1
4,0.0038336731338930443,0.004326868283820628,biagru_gp1_cross_raw,32,1
5,0.0038246879306841463,0.004324001825058504,biagru_gp1_cross_raw,32,1
6,0.003814928651371499,0.004323301087974908,biagru_gp1_cross_raw,32,1
7,0.003808853100816512,0.004321971508584322,biagru_gp1_cross_raw,32,1
8,0.0038017853845407025,0.004322804612823676,biagru_gp1_cross_raw,32,1
9,0.0037951758661354165,0.004325520338201034,biagru_gp1_cross_raw,32,1
1,0.003918658149699115,0.004345783836133934,biagru_gp1_cross_raw,64,1
2,0.003842513671746746,0.004327153389346043,biagru_gp1_cross_raw,64,1
3,0.0038254564601570107,0.004326617923377379,biagru_gp1_cross_raw,64,1
4,0.003818098971275531,0.004329687143879465,biagru_gp1_cross_raw,64,1
5,0.003811638849186528,0.004336769087044444,biagru_gp1_cross_raw,64,1
1,0.004711855401186959,0.0035890625732781893,biagru_gp1_cross_raw,32,2
2,0.004375286566485699,0.0035832704767930607,biagru_gp1_cross_raw,32,2
3,0.004364050549307936,0.003582752890833791,biagru_gp1_cross_raw,32,2
4,0.004356850201362058,0.003582789462928185,biagru_gp1_cross_raw,32,2
5,0.0043496662910145365,0.003578593632705384,biagru_gp1_cross_raw,32,2
6,0.004344476576722963,0.0035756035385661237,biagru_gp1_cross_raw,32,2
7,0.004341070736684886,0.0035722108380004513,biagru_gp1_cross_raw,32,2
8,0.0043387888200385,0.0035749569629566578,biagru_gp1_cross_raw,32,2
9,0.004336141241028121,0.003578066995823245,biagru_gp1_cross_raw,32,2
1,0.004497788937174176,0.0035503912984318872,biagru_gp1_cross_raw,64,2
2,0.004372169884706014,0.0035685163172048356,biagru_gp1_cross_raw,64,2
3,0.004354481774039174,0.0035742613426036347,biagru_gp1_cross_raw,64,2
