epoch,train_loss,val_loss,model_name,hidden_size,window_id
1,0.9979011698678851,1.000300962884887,gru_gp1_cross_normalize,32,1
2,0.9955793853084594,1.000702865359162,gru_gp1_cross_normalize,32,1
3,0.9950795887794557,1.0009252267474888,gru_gp1_cross_normalize,32,1
4,0.9946558387974465,1.0011683570988037,gru_gp1_cross_normalize,32,1
5,0.9943298009675663,1.0013937336557053,gru_gp1_cross_normalize,32,1
6,0.9939545924942046,1.0016688303787167,gru_gp1_cross_normalize,32,1
1,0.9963277951208265,1.0016993752547674,gru_gp1_cross_normalize,64,1
2,0.9953426906928485,1.0020111597636168,gru_gp1_cross_normalize,64,1
3,0.9948740205259823,1.0022701607281421,gru_gp1_cross_normalize,64,1
4,0.994434512045446,1.0025371136535115,gru_gp1_cross_normalize,64,1
5,0.9941112656780726,1.0028570671291912,gru_gp1_cross_normalize,64,1
6,0.9936939484102236,1.0031363296659053,gru_gp1_cross_normalize,64,1
1,1.000145133357299,0.9965714959404136,gru_gp1_cross_normalize,32,2
2,0.9982446998671481,0.9962478453599954,gru_gp1_cross_normalize,32,2
3,0.9979017701901888,0.996068925294192,gru_gp1_cross_normalize,32,2
4,0.9977083092614224,0.9959890086691088,gru_gp1_cross_normalize,32,2
5,0.9974024742841721,0.9958865767038321,gru_gp1_cross_normalize,32,2
6,0.9971403189709312,0.9958642057225674,gru_gp1_cross_normalize,32,2
7,0.996879676109866,0.9958680834196791,gru_gp1_cross_normalize,32,2
8,0.9966822512212552,0.9958999882518994,gru_gp1_cross_normalize,32,2
9,0.9964317463887366,0.9960132868732581,gru_gp1_cross_normalize,32,2
10,0.996056879256901,0.9961102148400077,gru_gp1_cross_normalize,32,2
11,0.9958186195084923,0.9962704751310469,gru_gp1_cross_normalize,32,2
1,0.9993829386798959,0.9960919907827418,gru_gp1_cross_normalize,64,2
2,0.9983600277022312,0.995830844348996,gru_gp1_cross_normalize,64,2
3,0.9979076119159397,0.9957687803210086,gru_gp1_cross_normalize,64,2
4,0.9976188300785266,0.9956705060940755,gru_gp1_cross_normalize,64,2
5,0.9973691347398256,0.995638860680383,gru_gp1_cross_normalize,64,2
6,0.9970428585065039,0.9956599252636422,gru_gp1_cross_normalize,64,2
7,0.9967507138064033,0.9956969656521761,gru_gp1_cross_normalize,64,2
8,0.9964177683466359,0.9957892686002868,gru_gp1_cross_normalize,64,2
9,0.9960370385019403,0.99591422822908,gru_gp1_cross_normalize,64,2
10,0.9956723490827962,0.9961166515129025,gru_gp1_cross_normalize,64,2
