cost,turnover,strategy_ret,benchmark_ret,excess_ret,strategy_nav,benchmark_nav,excess_nav
0.003,0.5,-0.0034408859087738265,-0.0063673926494070415,0.002926506740633215,0.9965591140912262,0.993632607350593,1.0029265067406332
0.0015,0.25,-0.025525300206829325,-0.0245949730771722,-0.0009303271296571269,0.9711216435301958,0.9691942401242047,1.00199345700236
0.0015,0.25,-0.033600884836183995,-0.03755442096794238,0.0039535361317583825,0.938491097024012,0.9327967116308753,1.0059548743384044
0.00141,0.235,0.004892680824631061,0.01002378970922037,-0.005131108884589309,0.9430828344185083,0.9421468697097155,1.0007932103451906
0.0015,0.25,0.02808420415040033,0.028150929883419298,-6.672573301896856e-05,0.9695685652710558,0.9686691801787967,1.00072643168463
0.0015,0.25,-0.008425072472440906,-0.014222275431035823,0.0057972029585949165,0.9613998798416465,0.9548925002967381,1.0065278459151363
0.0014399999999999999,0.24,-0.024219525447980204,-0.020471548141729537,-0.0037479773062506667,0.9381152309861367,0.935344372506737,1.002755402390537
0.0015,0.25,-0.04973549568713159,-0.046980931894400856,-0.0027545637927307368,0.8914576049613931,0.8914010222441868,0.9999932486661468
0.0015,0.25,0.01621121393233749,0.010873882751691792,0.005337331180645699,0.9059092149070316,0.9010940124448084,1.0053305438126878
0.0015,0.25,-0.01816591832406538,-0.006578791757544327,-0.011587126566521052,0.8894525421000123,0.8951659025829639,0.9936816515603407
0.0015,0.25,0.012115009300632416,0.02468470295203806,-0.012569693651405643,0.9002282679200251,0.9172628069810174,0.9811913776132045
0.0015,0.25,-0.04744869297935124,-0.04823473929072692,0.0007860463113756808,0.8575136132241546,0.8730188746252076,0.9819626394763309
0.0014399999999999999,0.24,0.02978703343408674,0.0062513167548179675,0.02353571667926877,0.8830563998914471,0.8784763921434244,1.0050738339486727
0.0015,0.25,-0.11579570992188733,-0.11094434315420432,-0.00485136676768301,0.780802257164951,0.781014405840597,1.0001978521515862
0.0015,0.25,0.08459803663650164,0.055497314172342584,0.02910072246415906,0.8468565951224546,0.8243586076946581,1.0293043322562976
0.0015,0.25,-0.011300592627168283,-0.011520049862615081,0.0002194572354467985,0.8372866137273449,0.8148619554293396,1.029530220539488
0.0013800000000000002,0.23,0.037291947229049875,0.030898067089694694,0.006393880139355181,0.8685106619420548,0.8400396147970352,1.0361129133694615
0.0015,0.25,0.029256286532871,0.026714764135210043,0.002541522397660957,0.893920058724685,0.8624810749705707,1.038746217545296
0.0015,0.25,0.006635570279562179,-0.0005798277847159668,0.007215398064278146,0.8998517280986631,0.861980984479511,1.0462411849926485
0.0015,0.25,0.03560613508563405,0.030404264578260523,0.005201870507373529,0.9318919702863854,0.8881888823930555,1.0516835961564612
