epoch,train_loss,val_loss,model_name,hidden_size,window_id
1,0.0060349325382549265,0.00441640499488161,gru_gp2_train_raw,32,1
2,0.0038768145944323294,0.0043269796663809165,gru_gp2_train_raw,32,1
3,0.0037991254902841306,0.004309046384976285,gru_gp2_train_raw,32,1
4,0.003760526202670929,0.004301731544644611,gru_gp2_train_raw,32,1
5,0.0037338643122055695,0.004300551731608996,gru_gp2_train_raw,32,1
6,0.003710773123802381,0.004300320797850292,gru_gp2_train_raw,32,1
7,0.003686661527651732,0.004301631746387125,gru_gp2_train_raw,32,1
8,0.0036647368261110706,0.0043088551268310234,gru_gp2_train_raw,32,1
9,0.0036420108559571908,0.004316239567872669,gru_gp2_train_raw,32,1
10,0.0036206806968698303,0.004325673284455195,gru_gp2_train_raw,32,1
11,0.0035943280471850787,0.004341854818533135,gru_gp2_train_raw,32,1
1,0.0043026269022090665,0.004388619087609079,gru_gp2_train_raw,64,1
2,0.003779894068906303,0.004381830588339225,gru_gp2_train_raw,64,1
3,0.0037262469187468355,0.004392551943980658,gru_gp2_train_raw,64,1
4,0.0036954124385438145,0.004385946496065017,gru_gp2_train_raw,64,1
5,0.0036670225042052663,0.004390158471866597,gru_gp2_train_raw,64,1
6,0.0036338576261568246,0.004385988871242162,gru_gp2_train_raw,64,1
7,0.0035985829939000212,0.004385499205898118,gru_gp2_train_raw,64,1
1,0.006998274861834943,0.0037503555030974594,gru_gp2_train_raw,32,2
2,0.004452523912156099,0.003625474120136586,gru_gp2_train_raw,32,2
3,0.004348989118772902,0.0036045616686163386,gru_gp2_train_raw,32,2
4,0.0043210535528334345,0.0035955136099570916,gru_gp2_train_raw,32,2
5,0.004303389846004153,0.003595486022473042,gru_gp2_train_raw,32,2
6,0.004293795513405808,0.003586345365494961,gru_gp2_train_raw,32,2
7,0.0042860097354768135,0.0035830235579306503,gru_gp2_train_raw,32,2
8,0.004274090101795369,0.003586889633158308,gru_gp2_train_raw,32,2
9,0.004263316850594588,0.003583517152018342,gru_gp2_train_raw,32,2
10,0.004251072992521681,0.003586993711894449,gru_gp2_train_raw,32,2
11,0.0042388496371476275,0.0035868717120756013,gru_gp2_train_raw,32,2
12,0.004225935803260654,0.0035957290564038896,gru_gp2_train_raw,32,2
1,0.0049558717671683745,0.0035946512499525516,gru_gp2_train_raw,64,2
2,0.004349040940134345,0.0035858006788346965,gru_gp2_train_raw,64,2
3,0.004306379108395623,0.003577065852054155,gru_gp2_train_raw,64,2
4,0.004281316645026795,0.0035627837497190836,gru_gp2_train_raw,64,2
5,0.004263389620341753,0.0035743663281021555,gru_gp2_train_raw,64,2
6,0.004245389410245576,0.0035911133843925997,gru_gp2_train_raw,64,2
7,0.004226837059433915,0.003621847454737479,gru_gp2_train_raw,64,2
8,0.004207229613890185,0.00364876935948158,gru_gp2_train_raw,64,2
9,0.00418585531854708,0.003672603990800113,gru_gp2_train_raw,64,2
