metric,value
yield,-0.16539021752615035
base_yield,-0.0665316243953572
excess_yield,-0.1052862399418465
vol,0.2039820907531954
sharpe,-0.8108075415613882
te,0.05661417629405256
ir,-1.859715124971394
maxdd,0.20263019490091694
Max Drawdown Start,2022-01-14 00:00:00
Max Drawdown End,2023-12-08 00:00:00
maxdd2,-0.0
Second Drawdown Start,2022-01-07 00:00:00
Second Drawdown End,2022-01-07 00:00:00
monthly_winrate,0.375
turnover,12.997346938775511
cost,0.0015148484848484848
