epoch,train_loss,val_loss,model_name,hidden_size,window_id
1,0.9966860578667909,1.0014608160537832,biagru_gp1_cross_normalize,32,1
2,0.9955789178089284,1.0019022838658644,biagru_gp1_cross_normalize,32,1
3,0.9950531660274127,1.002324349990412,biagru_gp1_cross_normalize,32,1
1,0.9969540047398301,1.001269389476095,biagru_gp1_cross_normalize,64,1
2,0.9957936441599021,1.0014960773351813,biagru_gp1_cross_normalize,64,1
3,0.9953672173046649,1.0019398176369547,biagru_gp1_cross_normalize,64,1
1,0.9993473763842332,0.9966915049884892,biagru_gp1_cross_normalize,32,2
2,0.9984665384731795,0.9964680499416866,biagru_gp1_cross_normalize,32,2
3,0.9980985066765233,0.9963548013681098,biagru_gp1_cross_normalize,32,2
4,0.99778320384653,0.9962909508355057,biagru_gp1_cross_normalize,32,2
5,0.99737116245847,0.996175506446935,biagru_gp1_cross_normalize,32,2
6,0.997048302700645,0.9963109054394412,biagru_gp1_cross_normalize,32,2
7,0.9966415327473691,0.9963736971722373,biagru_gp1_cross_normalize,32,2
1,0.9993238106213118,0.9967858031832216,biagru_gp1_cross_normalize,64,2
2,0.9985418622117294,0.9965771165075181,biagru_gp1_cross_normalize,64,2
3,0.9982079086805645,0.9962866546483985,biagru_gp1_cross_normalize,64,2
4,0.9978793129795476,0.996036770726055,biagru_gp1_cross_normalize,64,2
5,0.9975416368873495,0.9959387451033049,biagru_gp1_cross_normalize,64,2
6,0.9971183456245222,0.9958264989943444,biagru_gp1_cross_normalize,64,2
7,0.9966156557986611,0.9958641176988304,biagru_gp1_cross_normalize,64,2
8,0.9960454503799739,0.9959250025859865,biagru_gp1_cross_normalize,64,2
